#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
127,Malta,"117,610",,828                                ,,"116,117",,665,4,"264,868","1,865","2,119,315","4,772,877","444,033 ",Europe,,45360,,,"1,498",
128,Barbados,"106,645",,575                                ,,"106,057",,13,,"370,266","1,996","794,426","2,758,203","288,023 ",North America,,35010,,,45,
129,Angola,"105,288",,"1,933                                ",,"103,342",,13,,"3,006",55,"1,499,795","42,818","35,027,343 ",Africa,,"33318,12123",,,0.4,
130,Channel Islands,"101,449",,227                                ,,"101,091",,131,,"574,902","1,286","1,252,808","7,099,551","176,463 ",Europe,,27770,,,742,
131,French Guiana,"98,041",,420                                ,,"11,254",,"86,367",6,"312,065","1,337","651,257","2,072,951","314,169 ",South America,,37480,,,"274,906",
132,DRC,"95,749",,"1,464                                ",,"84,321",,"9,964",,"1,005",15,"846,704","8,890","95,240,792 ",Africa,,"99565,055112",,,105,
133,Senegal,"88,926",,"1,971                                ",,"86,947",,8,,"5,037",112,"1,146,543","64,946","17,653,671 ",Africa,,"1998,95715",,,0.5,
134,Malawi,"88,707",,"2,686                                ",,"85,583",,438,67,"4,396",133,"624,784","30,959","20,180,839 ",Africa,,"2277,51332",,,22,
135,Ivory Coast,"88,255",,834                                ,,"87,397",,24,,"3,181",30,"1,680,848","60,588","27,742,298 ",Africa,,"31433,26417",,,0.9,
136,Suriname,"82,467",,"1,404                                ",,N/A,N/A,N/A,,"138,175","2,352","241,357","404,398","596,831 ",South America,,74252,,,"52,464",
137,New Caledonia,"79,881",,314                                ,,"79,558",,9,9,"274,585","1,079","98,964","340,182","290,915 ",Australia/Oceania,,49263,,,31,
138,French Polynesia,"78,055",,649                                ,,N/A,N/A,N/A,7,"274,683","2,284",,,"284,164 ",Australia/Oceania,,4438,,,"154,509",
139,Eswatini,"74,267",,"1,425                                ",,"72,795",,47,,"62,682","1,203","1,048,704","885,119","1,184,817 ",Africa,,168311,,,40,
140,Guyana,"73,075",,"1,298                                ",,"71,756",,21,,"92,029","1,635","722,237","909,567","794,045 ",South America,,116121,,,26,
141,Belize,"70,757",,688                                ,,"70,056",,13,6,"171,661","1,669","576,016","1,397,453","412,190 ",North America,,65991,,,32,
142,Fiji,"68,897",,883                                ,,"66,860",,"1,154",,"75,755",971,"668,967","735,560","909,466 ",Australia/Oceania,,"131,0301",,,"1,269",
143,Madagascar,"67,889",,"1,423                                ",,"66,445",,21,,"2,327",49,"526,651","18,050","29,178,077 ",Africa,,"43020,50555",,,0.7,
144,Sudan,"63,829",,"5,017                                ",,"58,492",,320,,"1,388",109,"562,941","12,240","45,992,020 ",Africa,,"7219,16782",,,7,
145,Mauritania,"63,668",,997                                ,,"62,441",,230,,"12,988",203,"1,009,957","206,030","4,901,981 ",Africa,,"774,9175",,,47,
146,Cabo Verde,"63,244",,413                                ,,"62,773",,58,23,"111,408",728,"401,622","707,482","567,678 ",Africa,,"91,3751",,,102,
147,Bhutan,"62,627",,21                                ,,"61,564",,"1,042",,"79,482",27,"2,303,734","2,923,739","787,941 ",Asia,,"1337,5210",,,"1,322",
148,Syria,"57,467",,"3,164                                ",,"54,303",,0,,"2,968",163,"146,269","7,553","19,364,809 ",Asia,,"3376,120132",,,,
149,Burundi,"53,631",,38                                ,,"53,569",,24,,"4,248",3,"345,742","27,386","12,624,840 ",Africa,,"235332,23337",,,2,
